Density,RoomCount
0,397029,8449
0,390642,8417
0,39276,8290
0,394784,8278
0,397651,8310
0,387303,8152
0,389953,8160
0,392353,8327
0,392518,8307
0,393482,8163
0,395129,8369
0,381037,7946
0,395063,8350
0,392098,8309
0,394125,8297
0,398329,8359
0,390901,8145
0,3911,8302
0,383798,8144
0,385895,8232
0,395681,8410
0,383342,8217
0,389564,8163
0,393219,8351
0,3939,8199
0,396511,8353
0,399346,8390
0,383902,8254
0,389068,8177
0,395658,8440
0,390228,8269
0,386711,8178
0,387826,8447
0,390638,8262
0,384395,8369
0,40175,8552
0,397023,8338
0,397766,8364
0,382745,8235
0,388053,8209
0,386266,8230
0,388688,8326
0,39661,8342
0,393156,8009
0,388958,8252
0,401624,8339
0,397507,8458
0,388717,8170
0,397079,8314
0,398534,8324
0,388506,8164
0,38424,8261
0,390097,8133
0,392578,8311
0,388657,8312
0,380693,7937
0,394077,8345
0,390305,8172
0,384318,8101
0,386432,8067
0,392918,8283
0,396639,8347
0,392142,8116
0,403673,8486
0,393176,8359
0,393405,8535
0,396301,8430
0,388229,8397
0,394081,8238
0,390529,8248
0,38674,8060
0,389899,8314
0,393046,8277
0,393193,8289
0,388253,8225
0,402247,8454
0,379588,7973
0,387561,8142
0,39455,8426
0,396002,8405
0,384118,8260
0,38757,8272
0,38048,8120
0,396838,8303
0,394201,8356
0,394553,8359
0,386691,8127
0,401426,8420
0,388633,8312
0,389966,8206
0,393121,8319
0,38407,8077
0,388783,8419
0,390605,8143
0,388202,8177
0,389396,8206
0,391783,8325
0,394303,8374
0,390618,8276
0,392434,8236
0,388359,8278
0,392491,8152
0,392673,8286
0,391182,8273
0,383108,8179
0,394923,8421
0,385736,8015
0,390674,8322
0,389407,8100
0,393954,8351
0,385882,8288
0,384463,8240
0,399742,8332
0,399207,8357
0,398394,8353
0,391392,8407
0,393244,8310
0,398397,8499
0,400418,8560
0,393103,8425
0,395677,8349
0,384675,8173
0,400315,8417
0,400814,8515
0,394274,8267
0,384428,8138
0,388399,8283
0,392639,8478
0,392853,8285
0,390742,8144
0,3907,8228
0,397189,8569
0,399475,8465
0,392897,8169
0,397599,8653
0,396355,8421
0,385629,8159
0,389439,8220
0,381436,7959
0,389465,8247
0,399368,8454
0,392516,8200
0,397471,8413
0,386676,8194
0,388052,8130
0,391086,8081
0,392313,8309
0,390194,8392
0,395062,8420
0,381226,7946
0,382743,8074
0,383611,8136
0,390341,8401
0,389414,8242
0,400977,8540
0,384397,8104
0,394235,8206
0,385972,8119
0,389046,8263
0,391314,8164
0,391209,8314
0,385855,8127
0,391952,8232
0,390965,8269
0,38346,7933
0,38692,8199
0,392179,8380
0,399696,8373
0,380189,7973
0,382983,8132
0,394891,8368
0,386176,8188
0,393685,8250
0,387366,8133
0,389978,8232
0,387155,8245
0,397717,8502
0,391261,8172
0,389661,8275
0,390733,8187
0,398298,8253
0,389877,8302
0,395078,8299
0,397316,8335
0,400234,8594
0,389397,8237
0,393327,8330
0,390421,8287
0,390378,8198
0,392184,8265
0,392529,8335
0,395575,8308
0,39115,8147
0,387976,8225
0,39125,8206
0,380992,8037
0,385661,8549
0,389699,8279
0,385749,8243
0,385403,8049
0,392924,8395
0,388509,8316
0,382817,8139
0,388621,8165
0,394018,8411
0,384918,8168
0,388014,8235
0,393027,8325
0,390859,8170
0,393297,8203
0,397302,8322
0,390496,8281
0,392645,8279
0,389363,8299
0,386326,8135
0,391765,8308
0,395806,8355
0,390126,8351
0,388924,8201
0,388491,8119
0,393862,8466
0,378988,8058
0,385707,8082
0,386981,7949
0,396451,8521
0,395238,8328
0,395806,8180
0,392548,8266
0,388262,8275
0,381193,8193
0,380197,7911
0,390831,8141
0,396642,8371
0,396843,8358
0,397862,8273
0,392042,8332
0,389223,8163
0,39556,8468
0,388569,8259
0,391181,8248
0,389668,8119
0,383797,8034
0,390699,8197
0,38578,8092
0,392498,8404
0,389298,8265
0,38795,8168
0,38915,8159
0,395592,8235
0,404721,8609
0,388359,8259
0,389593,8192
0,392644,8292
0,393264,8210
0,390192,8384
0,389869,8235
0,395544,8557
0,390642,8223
0,396409,8303
0,398234,8273
0,384838,8155
0,39242,8194
0,392211,8359
0,390598,8372
0,39474,8385
0,390469,8321
0,391847,8216
0,392453,8454
0,38819,8072
0,390722,8323
0,397692,8339
0,390122,8274
0,390495,8026
0,381189,7968
0,386569,8103
0,394467,8220
0,401362,8430
0,388697,8402
0,391548,8278
0,387695,8035
0,391872,8302
0,395354,8273
0,394188,8309
0,40628,8447
0,392725,8328
0,385866,8174
0,39886,8337
0,393271,8278
0,381728,8070
0,391216,8330
0,40244,8562
0,38989,8129
0,388229,8086
0,3931,8257
0,385195,8029
0,389397,8146
0,395395,8370
0,395592,8325
0,394805,8461
0,394642,8207
0,389775,8336
0,401377,8648
0,389829,8265
0,392508,8297
0,380319,8148
0,394503,8338
0,392293,8256
0,39853,8327
0,38986,8345
0,394243,8297
0,393328,8279
0,388142,8293
0,384361,8103
0,389253,8293
0,394874,8259
0,389241,8152
0,387046,8228
0,394332,8437
0,389131,8160
0,38474,8244
0,389757,8202
0,396995,8386
0,387004,8154
0,390019,8224
0,392202,8191
0,387323,8189
0,391215,8133
0,393304,8347
0,394878,8416
0,393548,8312
0,39473,8328
0,392165,8305
0,384544,8131
0,38576,8104
0,384523,7916
0,387208,7997
0,387001,8234
0,389095,8070
0,391529,8495
0,386234,8276
0,395436,8259
0,399691,8385
0,38612,8229
0,391435,8267
0,393968,8338
0,391292,8308
0,396394,8318
0,387565,8321
0,399563,8402
0,393936,8336
0,392695,8321
0,393365,8382
0,397,8349
0,393844,8292
0,387429,8241
0,397987,8351
0,388804,8273
0,385625,8253
0,390042,8252
0,39124,8341
0,382441,8102
0,381302,8020
0,399278,8430
0,394123,8592
0,392361,8393
0,389684,8220
0,391365,8317
0,389771,8206
0,38897,8304
0,386901,8186
0,389434,8246
0,405449,8557
0,388688,8230
0,383376,8052
0,389333,8381
0,389564,8093
0,396216,8364
0,390566,8353
0,387987,8174
0,388831,8227
0,396127,8280
0,392525,8259
0,391793,8215
0,388148,8294
0,38493,8055
0,391435,8281
0,39283,8393
0,395783,8458
0,389062,8153
0,383681,8199
0,388726,8160
0,391153,8363
0,398514,8298
0,390316,8334
0,392275,8332
0,395323,8419
0,390977,8250
0,383826,8170
0,396143,8414
0,390834,8243
0,385115,8163
0,386287,8163
0,393808,8323
0,391589,8204
0,389246,8192
0,391241,8325
0,394754,8402
0,383611,8203
0,389259,8317
0,390778,8276
0,395661,8244
0,388169,8217
0,390619,8316
0,400147,8488
0,384058,8208
0,397241,8215
0,385349,8135
0,392094,8437
0,388399,8195
0,381989,8062
0,397619,8520
0,389664,8157
0,391491,8380
0,397042,8342
0,388679,8194
0,393043,8232
0,394619,8274
0,396452,8223
0,392161,8347
0,397623,8214
0,392053,8237
0,393183,8357
0,396823,8515
0,39394,8429
0,390536,8370
0,386771,8207
0,389496,8243
0,395648,8341
0,396064,8402
0,396935,8432
0,393978,8237
0,38606,8189
0,393939,8300
0,387556,8302
0,393558,8205
0,394162,8271
0,386383,8270
0,391872,8435
0,393825,8334
0,386262,8291
0,391981,8175
0,386831,8250
0,395086,8452
0,384432,8214
0,38762,8036
0,396077,8441
0,39605,8416
0,391862,8284
0,38994,8262
0,384002,8097
0,380905,7947
0,389924,8209
0,39462,8429
0,394806,8458
0,397108,8331
0,378702,8061
0,388828,8153
0,383858,8160
0,393638,8392
0,396931,8468
0,390904,8092
0,391816,8336
0,384913,8065
0,393333,8357
0,3901,8173
0,389948,8356
0,39354,8342
0,3862,8094
0,395875,8469
0,396491,8274
0,399912,8383
0,39055,8195
